GameKey,season,home_team,away_team,home_score,away_score,home_team_win,home_AvgGainPerPass,home_AvgGainPerRush,home_AvgGainPlay,home_CompletionPct,home_ExtraPointAttempts,home_ExtraPointSuccesses,home_FGs,home_FairCatches,home_FieldGoalAttempts,home_FieldGoalSuccesses,home_FirstDowns,home_FirstDownsP,home_FirstDownsPn,home_FirstDownsR,home_FourthDown,home_FourthDownConversionAttempts,home_FourthDownConversionSuccesses,home_FourthDownPct,home_Fumbles,home_FumblesLost,home_FumblesOrig,home_GameDateShort,home_GoalToGo,home_GoalToGoConversionAttempts,home_GoalToGoConversionSuccesses,home_GoalToGoPct,home_GrossPuntingAverage,home_GrossYardsPassing,home_Inside20,home_Interceptions,home_KickoffReturnAvg,home_KickoffReturnYards,home_KickoffReturns,home_NPA,home_NetYardsPassing,home_NetYardsRushing,home_PATs,home_PassAttempts,home_PassCompletions,home_PassingFirstDowns,home_Penalties,home_PenaltyFirstDowns,home_PenaltyYards,home_Points,home_PointsOT,home_PointsQ1,home_PointsQ2,home_PointsQ3,home_PointsQ4,home_PuntReturnAvg,home_PuntReturns,home_PuntTouchbacks,home_PuntYards,home_Punts,home_PuntsBlocked,home_PuntsInside20,home_PuntsReturnYards,home_PuntsReturnYardsInverse,home_RedZone,home_RedZoneConversionAttempts,home_RedZoneConversionSuccesses,home_RedZonePct,home_RushingFirstDowns,home_RushingPlays,home_SackYardageLost,home_Safeties,home_Season,home_TDs,home_ThirdDown,home_ThirdDownConversionAttempts,home_ThirdDownConversionSuccesses,home_ThirdDownPct,home_TimeOfPossessionMinutes,home_TimeOfPossessionSeconds,home_TimeofPossession,home_TimesSacked,home_TotalFirstDowns,home_TotalNetYards,home_TotalOffPlays,home_TotalPlays,home_TotalRushingPlays,home_Touchbacks,home_TouchdownsPassing,home_TouchdownsRushing,home_TouchdownsTotal,home_TwoPnt,home_TwoPointPassingAttempts,home_TwoPointPassingSuccesses,home_TwoPointRushingAttempts,home_TwoPointRushingSuccesses,home_YardsLostonSacks,away_AvgGainPerPass,away_AvgGainPerRush,away_AvgGainPlay,away_CompletionPct,away_ExtraPointAttempts,away_ExtraPointSuccesses,away_FGs,away_FairCatches,away_FieldGoalAttempts,away_FieldGoalSuccesses,away_FirstDowns,away_FirstDownsP,away_FirstDownsPn,away_FirstDownsR,away_FourthDown,away_FourthDownConversionAttempts,away_FourthDownConversionSuccesses,away_FourthDownPct,away_Fumbles,away_FumblesLost,away_FumblesOrig,away_GameDateShort,away_GoalToGo,away_GoalToGoConversionAttempts,away_GoalToGoConversionSuccesses,away_GoalToGoPct,away_GrossPuntingAverage,away_GrossYardsPassing,away_Inside20,away_Interceptions,away_KickoffReturnAvg,away_KickoffReturnYards,away_KickoffReturns,away_NPA,away_NetYardsPassing,away_NetYardsRushing,away_PATs,away_PassAttempts,away_PassCompletions,away_PassingFirstDowns,away_Penalties,away_PenaltyFirstDowns,away_PenaltyYards,away_Points,away_PointsOT,away_PointsQ1,away_PointsQ2,away_PointsQ3,away_PointsQ4,away_PuntReturnAvg,away_PuntReturns,away_PuntTouchbacks,away_PuntYards,away_Punts,away_PuntsBlocked,away_PuntsInside20,away_PuntsReturnYards,away_PuntsReturnYardsInverse,away_RedZone,away_RedZoneConversionAttempts,away_RedZoneConversionSuccesses,away_RedZonePct,away_RushingFirstDowns,away_RushingPlays,away_SackYardageLost,away_Safeties,away_Season,away_TDs,away_ThirdDown,away_ThirdDownConversionAttempts,away_ThirdDownConversionSuccesses,away_ThirdDownPct,away_TimeOfPossessionMinutes,away_TimeOfPossessionSeconds,away_TimeofPossession,away_TimesSacked,away_TotalFirstDowns,away_TotalNetYards,away_TotalOffPlays,away_TotalPlays,away_TotalRushingPlays,away_Touchbacks,away_TouchdownsPassing,away_TouchdownsRushing,away_TouchdownsTotal,away_TwoPnt,away_TwoPointPassingAttempts,away_TwoPointPassingSuccesses,away_TwoPointRushingAttempts,away_TwoPointRushingSuccesses,away_YardsLostonSacks
59535,2024,ARZ,LA,41,10,1,11.7,5.8,7.9,80.95%,5,5,2-2,0,2,2,24,9,1,14,0-0,0,0,0.00%,2-1,1,2,9/15,2-2,2,2,100.00%,60.0,266,0,0,0.0,0,0,48.0,258,231,5-5,21,17,9,5,1,52,41,0,14,10,10,7,15.0,2,0,60,1,0,0,30,12,3-4,4,3,75.00%,14,40,8,0,,1-3-1,7-11,11,7,63.64%,36,54,36:54,1,24,489,62,62,40,0,3,1,5,0-0,0,0,0,0,8,6.0,2.7,4.7,70.37%,1,1,1-1,0,1,1,14,9,1,4,1-3,3,1,33.33%,1-1,1,1,9/15,1-2,2,1,50.00%,53.8,216,2,0,41.0,41,1,46.3,192,53,1-1,27,19,9,2,1,10,10,0,0,3,7,0,12.0,1,0,215,4,0,2,12,30,1-3,3,1,33.33%,4,20,24,0,,1-0-0,2-11,11,2,18.18%,23,6,23:06,5,14,245,52,52,20,0,0,1,1,0-0,0,0,0,0,24
59550,2024,ARZ,DET,13,20,0,5.7,4.3,5.2,61.76%,1,1,2-2,2,2,2,17,10,5,2,0-2,2,0,0.00%,0-0,0,0,9/22,1-1,1,1,100.00%,52.0,207,1,1,0.0,0,0,44.0,200,77,1-1,34,21,10,4,5,30,13,0,7,3,0,3,0.0,0,0,260,5,0,1,0,40,1-1,1,1,100.00%,2,18,7,0,,0-1-0,1-9,9,1,11.11%,23,11,23:11,1,17,277,53,53,18,0,1,0,1,0-0,0,0,0,0,7,7.4,4.3,5.5,78.26%,3,2,0-0,1,0,0,23,11,0,12,0-1,1,0,0.00%,0-0,0,0,9/22,2-2,2,2,100.00%,49.4,199,4,1,0.0,0,0,45.4,186,187,2-3,23,18,11,9,0,79,20,0,7,13,0,0,10.0,4,1,247,5,0,4,40,0,2-2,2,2,100.00%,12,43,13,0,,1-2-0,6-12,12,6,50.00%,36,49,36:49,2,23,373,68,68,43,1,2,1,3,0-0,0,0,0,0,13
59565,2024,ARZ,WAS,14,42,0,4.4,5.7,5.1,72.73%,2,2,0-0,0,0,0,17,5,0,12,2-3,3,2,66.67%,3-1,1,3,9/29,1-1,1,1,100.00%,48.0,142,1,0,26.0,130,5,44.0,115,181,2-2,22,16,5,4,0,82,14,0,7,0,7,0,4.0,1,0,192,4,0,1,4,16,2-2,2,2,100.00%,12,32,27,0,,1-1-0,4-11,11,4,36.36%,26,38,26:38,4,17,296,58,58,32,0,1,1,2,0-0,0,0,0,0,27,7.8,5.8,6.7,86.67%,4,4,2-2,2,2,2,29,14,2,13,1-1,1,1,100.00%,0-0,0,0,9/29,4-4,4,4,100.00%,51.0,233,0,1,0.0,0,0,47.0,233,216,4-4,30,26,14,5,2,49,42,0,7,10,10,15,16.0,1,0,51,1,0,0,16,4,4-5,5,4,80.00%,13,37,0,0,,4-1-0,9-12,12,9,75.00%,33,22,33:22,0,29,449,67,67,37,0,1,4,5,1-1,1,1,0,0,0
59614,2024,ARZ,LAC,17,15,1,5.6,6.2,5.9,53.85%,2,2,1-1,0,1,1,22,10,2,10,0-1,1,0,0.00%,1-0,0,1,10/21,1-1,1,1,100.00%,44.5,145,4,1,27.0,54,2,44.5,145,181,2-2,26,14,10,3,2,15,17,0,0,7,0,10,0.0,0,0,178,4,0,4,0,0,1-2,2,1,50.00%,10,29,0,0,,1-1-0,2-7,7,2,28.57%,25,46,25:46,0,22,326,55,55,29,0,1,1,2,0-0,0,0,0,0,0,8.0,2.7,6.2,69.23%,0,0,5-5,3,5,5,20,14,1,5,1-1,1,1,100.00%,3-2,2,3,10/21,0-0,0,0,0.00%,37.5,349,1,0,0.0,0,0,37.5,336,59,0-0,39,27,14,5,1,57,15,0,0,6,3,6,0.0,0,0,75,2,0,1,0,0,0-1,1,0,0.00%,5,22,13,0,,0-0-0,6-14,14,6,42.86%,34,14,34:14,3,20,395,64,64,22,0,0,0,0,0-0,0,0,0,0,13
59641,2024,ARZ,CHI,29,9,0,6.0,6.3,6.1,65.00%,3,3,2-2,0,2,2,18,7,1,10,0-1,1,0,0.00%,2-2,2,2,11/3,2-2,2,2,100.00%,46.8,154,3,0,0.0,0,0,43.5,137,213,3-3,20,13,7,2,1,15,29,0,7,14,3,5,16.3,4,0,187,4,0,3,65,13,2-3,3,2,66.67%,10,34,17,1,,3-0-0,5-13,13,5,38.46%,28,59,28:59,3,18,350,57,57,34,0,0,3,3,0-0,0,0,0,0,17,3.7,3.0,3.4,53.66%,0,0,3-3,0,3,3,16,10,1,5,2-4,4,2,50.00%,1-0,0,1,11/3,0-0,0,0,0.00%,54.5,217,1,0,0.0,0,0,38.3,172,69,0-0,41,22,10,6,1,33,9,0,0,9,0,0,6.5,2,0,218,4,0,1,13,65,0-1,1,0,0.00%,5,23,45,0,,0-0-0,3-14,14,3,21.43%,31,1,31:01,6,16,241,70,70,23,0,0,0,0,0-0,0,0,0,0,45
59656,2024,ARZ,NYJ,31,6,0,10.4,4.6,7.1,91.67%,4,4,1-1,0,1,1,28,15,2,11,1-1,1,1,100.00%,1-0,0,1,11/10,3-3,3,3,100.00%,40.0,266,1,0,0.0,0,0,40.0,259,147,4-4,24,22,15,5,2,58,31,0,14,10,7,0,0.0,0,0,40,1,0,1,0,0,4-5,5,4,80.00%,11,32,7,0,,3-1-0,5-7,7,5,71.43%,32,42,32:42,1,28,406,57,57,32,0,1,3,4,0-0,0,0,0,0,7,3.4,4.6,3.8,62.86%,0,0,2-2,1,2,2,17,10,2,5,1-3,3,1,33.33%,1-1,1,1,11/10,0-1,1,0,0.00%,46.5,151,1,0,0.0,0,0,46.5,128,79,0-0,35,22,10,3,2,25,6,0,3,3,0,0,0.0,0,0,93,2,0,1,0,0,0-3,3,0,0.00%,5,17,23,0,,0-0-0,6-13,13,6,46.15%,27,18,27:18,3,17,207,55,55,17,0,0,0,0,0-0,0,0,0,0,23
59711,2024,ARZ,SEA,18,30,0,5.9,5.3,5.7,65.79%,1,1,1-2,0,2,1,21,14,0,7,1-1,1,1,100.00%,1-0,0,1,12/8,1-1,1,1,100.00%,45.0,259,0,2,0.0,0,0,41.5,235,121,1-1,38,25,14,6,0,49,18,0,7,3,8,0,10.5,2,0,180,4,0,0,21,14,1-3,3,1,33.33%,7,23,24,0,,0-2-0,4-12,12,4,33.33%,26,58,26:58,2,21,356,63,63,23,0,2,0,2,1-1,0,0,1,1,24,7.8,5.7,6.7,80.00%,3,3,3-3,2,3,3,18,10,0,8,0-0,0,0,0.00%,1-0,0,1,12/8,1-2,2,1,50.00%,53.0,233,4,0,27.0,27,1,44.8,233,176,3-3,30,24,10,9,0,62,30,0,17,7,3,3,14.0,1,1,265,5,0,4,14,21,2-5,5,2,40.00%,8,31,0,0,,2-1-0,7-15,15,7,46.67%,33,2,33:02,0,18,409,61,61,31,1,1,2,3,0-0,0,0,0,0,0
59724,2024,ARZ,NE,30,17,1,7.3,5.1,6.2,78.13%,3,3,3-3,0,3,3,21,9,3,9,0-0,0,0,0.00%,2-0,0,2,12/15,2-2,2,2,100.00%,48.5,232,0,0,0.0,0,0,35.5,232,163,3-3,32,25,9,4,3,35,30,0,10,3,3,14,6.5,2,1,97,2,0,0,13,6,3-4,4,3,75.00%,9,32,0,0,,2-0-1,10-15,15,10,66.67%,34,8,34:08,0,21,395,64,64,32,1,0,2,3,0-0,0,0,0,0,0,7.8,4.8,6.3,82.61%,2,2,1-2,0,2,1,17,10,0,7,1-2,2,1,50.00%,3-0,0,3,12/15,2-2,2,2,100.00%,55.0,202,1,1,26.0,52,2,48.5,195,116,2-2,23,19,10,4,0,45,17,0,0,3,0,14,6.0,1,0,110,2,0,1,6,13,2-3,3,2,66.67%,7,24,7,0,,1-1-0,0-6,6,0,0.00%,25,52,25:52,2,17,311,49,49,24,0,1,1,2,0-0,0,0,0,0,7
59764,2024,ARZ,SF,47,24,1,6.9,5.6,6.3,71.43%,5,5,2-2,0,2,2,26,14,4,8,2-2,2,2,100.00%,1-0,0,1,1/5,3-3,3,3,100.00%,45.0,242,1,0,0.0,0,0,41.3,242,151,5-5,35,25,14,1,4,5,47,0,3,17,6,21,12.0,2,0,180,4,0,1,24,15,4-4,4,4,100.00%,8,27,0,0,,2-4-0,4-11,11,4,36.36%,28,9,28:09,0,26,393,62,62,27,0,4,2,6,0-1,0,0,1,0,0,6.6,4.9,6.0,67.44%,3,3,1-2,3,2,1,26,16,1,9,1-2,2,1,50.00%,3-1,1,3,1/5,2-2,2,2,100.00%,50.0,326,1,2,32.0,32,1,38.0,298,138,3-3,43,29,16,13,1,85,24,0,3,14,7,0,15.0,1,0,100,2,0,1,15,24,2-2,2,2,100.00%,9,28,28,0,,1-2-0,5-13,13,5,38.46%,31,51,31:51,2,26,436,73,73,28,0,2,1,3,0-0,0,0,0,0,28
59510,2024,ATL,PIT,10,18,0,4.9,4.0,4.5,61.54%,1,1,1-1,1,1,1,15,8,1,6,1-1,1,1,100.00%,1-1,1,1,9/8,0-1,1,0,0.00%,52.5,155,0,2,28.0,56,2,40.8,137,89,1-1,26,16,8,5,1,34,10,0,3,7,0,0,14.0,2,0,210,4,0,0,28,47,1-2,2,1,50.00%,6,22,18,0,,0-1-0,2-9,9,2,22.22%,24,24,24:24,2,15,226,50,50,22,0,1,0,1,0-0,0,0,0,0,18,5.3,3.3,4.1,73.91%,0,0,6-6,0,6,6,16,6,1,9,0-1,1,0,0.00%,1-0,0,1,9/8,0-1,1,0,0.00%,48.7,156,1,0,0.0,0,0,39.3,133,137,0-0,23,17,6,9,1,60,18,0,3,6,6,3,11.8,4,0,146,3,0,1,47,28,0-2,2,0,0.00%,9,41,23,0,,0-0-0,8-17,17,8,47.06%,35,36,35:36,2,16,270,66,66,41,0,0,0,0,0-0,0,0,0,0,23
