week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds
6,Denver Broncos @ New York Jets,Denver Broncos,New York Jets,-7,-110,7,-110,-355,285,43.5,-108,-112
6,Cleveland Browns @ Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,5.5,-102,-5.5,-120,225,-275,38.5,-108,-112
6,Los Angeles Chargers @ Miami Dolphins,Los Angeles Chargers,Miami Dolphins,-3.5,-114,3.5,-106,-196,164,43.5,-112,-108
6,New England Patriots @ New Orleans Saints,New England Patriots,New Orleans Saints,-3.5,-105,3.5,-115,-184,154,45.5,-115,-105
6,Seattle Seahawks @ Jacksonville Jaguars,Seattle Seahawks,Jacksonville Jaguars,-1.5,-102,1.5,-120,-110,-106,47.5,-105,-115
6,Arizona Cardinals @ Indianapolis Colts,Arizona Cardinals,Indianapolis Colts,9.5,-110,-9.5,-110,380,-500,46.5,-110,-110
6,Los Angeles Rams @ Baltimore Ravens,Los Angeles Rams,Baltimore Ravens,-7,-115,7,-105,-375,300,44.5,-112,-108
6,Dallas Cowboys @ Carolina Panthers,Dallas Cowboys,Carolina Panthers,-3,-110,3,-110,-158,134,48.5,-110,-110
6,Tennessee Titans @ Las Vegas Raiders,Tennessee Titans,Las Vegas Raiders,4.5,-115,-4.5,-105,180,-215,41.5,-110,-110
6,San Francisco 49ers @ Tampa Bay Buccaneers,San Francisco 49ers,Tampa Bay Buccaneers,3.5,-120,-3.5,-102,148,-176,47.5,-108,-112
6,Cincinnati Bengals @ Green Bay Packers,Cincinnati Bengals,Green Bay Packers,14.5,-114,-14.5,-106,750,-1200,44.5,-110,-110
6,Detroit Lions @ Kansas City Chiefs,Detroit Lions,Kansas City Chiefs,2.5,-105,-2.5,-115,126,-148,52.5,-110,-110
6,Buffalo Bills @ Atlanta Falcons,Buffalo Bills,Atlanta Falcons,-4.5,-105,4.5,-115,-205,172,49.5,-118,-104
6,Chicago Bears @ Washington Commanders,Chicago Bears,Washington Commanders,4.5,-120,-4.5,-102,176,-210,49.5,-115,-105
6,Pittsburgh Steelers @ Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,-4.5,-112,4.5,-108,-230,190,42.5,-115,-105
6,Los Angeles Rams @ Jacksonville Jaguars,Los Angeles Rams,Jacksonville Jaguars,-3.5,-102,3.5,-120,-168,142,47.5,-104,-118
6,Philadelphia Eagles @ Minnesota Vikings,Philadelphia Eagles,Minnesota Vikings,-2.5,-115,2.5,-105,-144,122,42.5,-102,-120
6,Las Vegas Raiders @ Kansas City Chiefs,Las Vegas Raiders,Kansas City Chiefs,11.5,-110,-11.5,-110,490,-670,46.5,-105,-115
6,New Orleans Saints @ Chicago Bears,New Orleans Saints,Chicago Bears,6.5,-110,-6.5,-110,240,-295,44.5,-104,-118
6,Miami Dolphins @ Cleveland Browns,Miami Dolphins,Cleveland Browns,2.5,-102,-2.5,-120,124,-146,41.5,-105,-115
6,Carolina Panthers @ New York Jets,Carolina Panthers,New York Jets,1.5,-108,-1.5,-112,110,-130,43.5,-115,-105
6,New England Patriots @ Tennessee Titans,New England Patriots,Tennessee Titans,-6.5,-104,6.5,-118,-270,220,42.5,-102,-120
6,Indianapolis Colts @ Los Angeles Chargers,Indianapolis Colts,Los Angeles Chargers,-1.5,-104,1.5,-118,-108,-108,48.5,-110,-110
6,New York Giants @ Denver Broncos,New York Giants,Denver Broncos,7.5,-110,-7.5,-110,320,-405,40.5,-110,-110
6,Washington Commanders @ Dallas Cowboys,Washington Commanders,Dallas Cowboys,-2.5,-115,2.5,-105,-142,120,52.5,-115,-105
6,Green Bay Packers @ Arizona Cardinals,Green Bay Packers,Arizona Cardinals,-4.5,-120,4.5,-102,-240,198,44.5,-110,-110
6,Atlanta Falcons @ San Francisco 49ers,Atlanta Falcons,San Francisco 49ers,4.5,-115,-4.5,-105,168,-200,45.5,-105,-115
6,Tampa Bay Buccaneers @ Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,5.5,-120,-5.5,-102,190,-230,52.5,-120,-102
6,Houston Texans @ Seattle Seahawks,Houston Texans,Seattle Seahawks,3,-115,-3,-105,130,-154,42.5,-110,-110
