game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline
PIT Steelers @ CIN Bengals,PIT Steelers,CIN Bengals,-5.5,-110,44.5,-105,PIT Steelers: -270 / CIN Bengals: +220
LA Rams @ JAX Jaguars,LA Rams,JAX Jaguars,-3,-115,44.5,-115,LA Rams: -166 / JAX Jaguars: +140
NE Patriots @ TEN Titans,NE Patriots,TEN Titans,-7,-110,42.5,-102,NE Patriots: -345 / TEN Titans: +275
MIA Dolphins @ CLE Browns,MIA Dolphins,CLE Browns,2.5,-110,40.5,-102,MIA Dolphins: +114 / CLE Browns: -135
LV Raiders @ KC Chiefs,LV Raiders,KC Chiefs,11.5,-108,45.5,-110,LV Raiders: +575 / KC Chiefs: -850
PHI Eagles @ MIN Vikings,PHI Eagles,MIN Vikings,-1.5,-112,43.5,-115,PHI Eagles: -125 / MIN Vikings: +105
CAR Panthers @ NY Jets,CAR Panthers,NY Jets,-1.5,-112,42.5,-112,CAR Panthers: -125 / NY Jets: +105
NO Saints @ CHI Bears,NO Saints,CHI Bears,4.5,-105,47.5,-105,NO Saints: +190 / CHI Bears: -230
NY Giants @ DEN Broncos,NY Giants,DEN Broncos,7,-110,39.5,-115,NY Giants: +285 / DEN Broncos: -360
IND Colts @ LA Chargers,IND Colts,LA Chargers,1.5,-108,48.5,-110,IND Colts: +110 / LA Chargers: -130
GB Packers @ ARI Cardinals,GB Packers,ARI Cardinals,-6.5,-115,44.5,-115,GB Packers: -345 / ARI Cardinals: +275
WAS Commanders @ DAL Cowboys,WAS Commanders,DAL Cowboys,-2.5,-108,54.5,-115,WAS Commanders: -135 / DAL Cowboys: +114
ATL Falcons @ SF 49ers,ATL Falcons,SF 49ers,2.5,-112,47.5,+100,ATL Falcons: +114 / SF 49ers: -135
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,5.5,-110,52.5,-112,TB Buccaneers: +205 / DET Lions: -250
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-105,42.5,-110,MIN Vikings: +140 / LA Chargers: -166
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-110,48.5,-110,BUF Bills: -375 / CAR Panthers: +295
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,49.5,-108,CHI Bears: +245 / BAL Ravens: -305
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,6,-112,46.5,-105,MIA Dolphins: +215 / ATL Falcons: -265
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-110,40.5,-105,CLE Browns: +270 / NE Patriots: -340
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-110,42.5,-110,NY Giants: +295 / PHI Eagles: -375
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,2.5,-110,42.5,-115,NY Jets: +114 / CIN Bengals: -135
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,2.5,-110,43.5,-115,SF 49ers: +114 / HOU Texans: -135
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-6,-110,47.5,-115,TB Buccaneers: -258 / NO Saints: +210
TEN Titans @ IND Colts,TEN Titans,IND Colts,11.5,-110,45.5,-110,TEN Titans: +525 / IND Colts: -750
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,5.5,-110,47.5,-110,DAL Cowboys: +205 / DEN Broncos: -250
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-110,43.5,-110,GB Packers: -162 / PIT Steelers: +136
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,4.5,-105,50.5,-110,WAS Commanders: +205 / KC Chiefs: -250
