week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds
7,Pittsburgh Steelers @ Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,-5.5,-106,5.5,-114,-240,198,44.5,-110,-110
7,Los Angeles Rams @ Jacksonville Jaguars,Los Angeles Rams,Jacksonville Jaguars,-3,-105,3,-115,-148,126,44.5,-115,-105
7,Philadelphia Eagles @ Minnesota Vikings,Philadelphia Eagles,Minnesota Vikings,-2.5,-105,2.5,-115,-132,112,43.5,-106,-114
7,Las Vegas Raiders @ Kansas City Chiefs,Las Vegas Raiders,Kansas City Chiefs,11.5,-105,-11.5,-115,520,-720,45.5,-112,-108
7,New Orleans Saints @ Chicago Bears,New Orleans Saints,Chicago Bears,5.5,-112,-5.5,-108,205,-250,46.5,-118,-104
7,Miami Dolphins @ Cleveland Browns,Miami Dolphins,Cleveland Browns,2.5,-105,-2.5,-115,126,-148,39.5,-118,-104
7,Carolina Panthers @ New York Jets,Carolina Panthers,New York Jets,-1.5,-105,1.5,-115,-116,-102,42.5,-105,-115
7,New England Patriots @ Tennessee Titans,New England Patriots,Tennessee Titans,-7,-110,7,-110,-360,290,41.5,-115,-105
7,Indianapolis Colts @ Los Angeles Chargers,Indianapolis Colts,Los Angeles Chargers,1.5,-108,-1.5,-112,108,-126,48.5,-110,-110
7,New York Giants @ Denver Broncos,New York Giants,Denver Broncos,7,-110,-7,-110,275,-340,40.5,-104,-118
7,Washington Commanders @ Dallas Cowboys,Washington Commanders,Dallas Cowboys,-1.5,-108,1.5,-112,-126,108,54.5,-115,-105
7,Green Bay Packers @ Arizona Cardinals,Green Bay Packers,Arizona Cardinals,-6.5,-112,6.5,-108,-300,245,44.5,-104,-118
7,Atlanta Falcons @ San Francisco 49ers,Atlanta Falcons,San Francisco 49ers,1.5,-108,-1.5,-112,108,-126,46.5,-118,-104
7,Tampa Bay Buccaneers @ Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,5.5,-105,-5.5,-115,220,-270,52.5,-110,-110
7,Houston Texans @ Seattle Seahawks,Houston Texans,Seattle Seahawks,3.5,-118,-3.5,-104,150,-178,40.5,-112,-108
7,Minnesota Vikings @ Los Angeles Chargers,Minnesota Vikings,Los Angeles Chargers,3.5,-120,-3.5,-102,142,-168,43.5,-104,-118
7,Buffalo Bills @ Carolina Panthers,Buffalo Bills,Carolina Panthers,-7.5,-110,7.5,-110,-400,315,47.5,-110,-110
7,New York Jets @ Cincinnati Bengals,New York Jets,Cincinnati Bengals,2.5,-105,-2.5,-115,122,-144,41.5,-110,-110
7,Chicago Bears @ Baltimore Ravens,Chicago Bears,Baltimore Ravens,6.5,-110,-6.5,-110,245,-300,48.5,-110,-110
7,Cleveland Browns @ New England Patriots,Cleveland Browns,New England Patriots,7,-115,-7,-105,265,-330,40.5,-110,-110
7,San Francisco 49ers @ Houston Texans,San Francisco 49ers,Houston Texans,1.5,-105,-1.5,-115,108,-126,44.5,-110,-110
7,Miami Dolphins @ Atlanta Falcons,Miami Dolphins,Atlanta Falcons,5.5,-102,-5.5,-120,220,-270,45.5,-105,-115
7,New York Giants @ Philadelphia Eagles,New York Giants,Philadelphia Eagles,7.5,-105,-7.5,-115,340,-430,40.5,-110,-110
7,Tampa Bay Buccaneers @ New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,-5.5,-105,5.5,-115,-235,194,47.5,-115,-105
7,Tennessee Titans @ Indianapolis Colts,Tennessee Titans,Indianapolis Colts,12.5,-110,-12.5,-110,560,-800,44.5,-112,-108
7,Dallas Cowboys @ Denver Broncos,Dallas Cowboys,Denver Broncos,4.5,-110,-4.5,-110,172,-205,47.5,-105,-115
7,Green Bay Packers @ Pittsburgh Steelers,Green Bay Packers,Pittsburgh Steelers,-3,-110,3,-110,-158,134,43.5,-110,-110
7,Washington Commanders @ Kansas City Chiefs,Washington Commanders,Kansas City Chiefs,6.5,-118,-6.5,-104,220,-270,50.5,-115,-105
