week,game,player_name,team_name,team_logo,prop_type,line,over_odds,under_odds,sportsbook
7,Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,Passing Yds,216.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,1st Qtr Passing Yds,48.5,-113,-113,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,1st Qtr Passing Yds,47.5,-115,-111,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Passing Yds,238.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,Passing TDs,1.5,-130,-102,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Passing TDs,1.5,152,-205,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Pass Attempts,36.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Pass Completions,22.5,-130,-102,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,Pass Attempts,29.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,Pass Completions,20.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,1st Qtr Receiving Yds,6.5,-115,-111,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Total Receptions,1.5,106,-140,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Receiving Yds,45.5,-114,-114,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,DK Metcalf,Pittsburgh Steelers,https://assets.sportsbook.fanduel.com/images/team/nfl/pittsburgh_steelers.png,Longest Reception,24.5,-108,-122,FanDuel
7,Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Cincinnati Bengals,https://assets.sportsbook.fanduel.com/images/team/nfl/cincinnati_bengals.png,Rushing + Receiving Yds,63.5,-114,-114,FanDuel
