week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds,scrape_timestamp
9,Baltimore Ravens @ Miami Dolphins,Baltimore Ravens,Miami Dolphins,-7.5,-115,7.5,-105,-450,350,,-110,-110,2025-10-29T16:20:07.976988
9,Atlanta Falcons @ New England Patriots,Atlanta Falcons,New England Patriots,5.5,-105,-5.5,-115,220,-270,,-105,-115,2025-10-29T16:20:07.976988
9,Carolina Panthers @ Green Bay Packers,Carolina Panthers,Green Bay Packers,13.5,-104,-13.5,-118,750,-1200,,-105,-115,2025-10-29T16:20:07.976988
9,Denver Broncos @ Houston Texans,Denver Broncos,Houston Texans,1.5,-105,-1.5,-115,110,-130,,-110,-110,2025-10-29T16:20:07.976988
9,Los Angeles Chargers @ Tennessee Titans,Los Angeles Chargers,Tennessee Titans,-8.5,-115,8.5,-105,-460,360,,-105,-115,2025-10-29T16:20:07.976988
9,Chicago Bears @ Cincinnati Bengals,Chicago Bears,Cincinnati Bengals,-3,-102,3,-120,-154,130,,-118,-104,2025-10-29T16:20:07.976988
9,Indianapolis Colts @ Pittsburgh Steelers,Indianapolis Colts,Pittsburgh Steelers,-3,-115,3,-105,-162,136,,-102,-120,2025-10-29T16:20:07.976988
9,San Francisco 49ers @ New York Giants,San Francisco 49ers,New York Giants,-2.5,-120,2.5,-102,-152,128,,-115,-105,2025-10-29T16:20:07.976988
9,Minnesota Vikings @ Detroit Lions,Minnesota Vikings,Detroit Lions,8.5,-105,-8.5,-115,390,-510,,-110,-110,2025-10-29T16:20:07.976988
9,New Orleans Saints @ Los Angeles Rams,New Orleans Saints,Los Angeles Rams,14.5,-115,-14.5,-105,730,-1150,,-110,-110,2025-10-29T16:20:07.976988
9,Jacksonville Jaguars @ Las Vegas Raiders,Jacksonville Jaguars,Las Vegas Raiders,-3,-115,3,-105,-174,144,,-115,-105,2025-10-29T16:20:07.976988
9,Kansas City Chiefs @ Buffalo Bills,Kansas City Chiefs,Buffalo Bills,-1.5,-112,1.5,-108,-126,108,,-105,-115,2025-10-29T16:20:07.976988
9,Seattle Seahawks @ Washington Commanders,Seattle Seahawks,Washington Commanders,-3,-110,3,-110,-172,144,,-110,-110,2025-10-29T16:20:07.976988
9,Arizona Cardinals @ Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,2.5,-104,-2.5,-118,128,-152,,-110,-110,2025-10-29T16:20:07.976988
9,Las Vegas Raiders @ Denver Broncos,Las Vegas Raiders,Denver Broncos,9.5,-115,-9.5,-105,370,-480,,-120,-102,2025-10-29T16:20:07.976988
9,Atlanta Falcons @ Indianapolis Colts,Atlanta Falcons,Indianapolis Colts,7,-105,-7,-115,290,-360,,-108,-112,2025-10-29T16:20:07.976988
9,Jacksonville Jaguars @ Houston Texans,Jacksonville Jaguars,Houston Texans,2.5,-105,-2.5,-115,120,-142,,-115,-105,2025-10-29T16:20:07.976988
9,New York Giants @ Chicago Bears,New York Giants,Chicago Bears,3,-104,-3,-118,142,-172,,-105,-115,2025-10-29T16:20:07.976988
9,Baltimore Ravens @ Minnesota Vikings,Baltimore Ravens,Minnesota Vikings,-3.5,-120,3.5,-102,-200,168,,-105,-115,2025-10-29T16:20:07.976988
9,Cleveland Browns @ New York Jets,Cleveland Browns,New York Jets,1.5,-105,-1.5,-115,112,-132,,-110,-110,2025-10-29T16:20:07.976988
9,New Orleans Saints @ Carolina Panthers,New Orleans Saints,Carolina Panthers,3.5,-105,-3.5,-115,166,-198,,-115,-105,2025-10-29T16:20:07.976988
9,Buffalo Bills @ Miami Dolphins,Buffalo Bills,Miami Dolphins,-8.5,-105,8.5,-115,-420,330,,-105,-115,2025-10-29T16:20:07.976988
9,New England Patriots @ Tampa Bay Buccaneers,New England Patriots,Tampa Bay Buccaneers,1.5,-108,-1.5,-112,108,-126,,-110,-110,2025-10-29T16:20:07.976988
9,Arizona Cardinals @ Seattle Seahawks,Arizona Cardinals,Seattle Seahawks,6.5,-120,-6.5,-102,215,-260,,-105,-115,2025-10-29T16:20:07.976988
9,Los Angeles Rams @ San Francisco 49ers,Los Angeles Rams,San Francisco 49ers,-3,-110,3,-110,-158,134,,-110,-110,2025-10-29T16:20:07.976988
9,Detroit Lions @ Washington Commanders,Detroit Lions,Washington Commanders,-3.5,-110,3.5,-110,-190,158,,-110,-110,2025-10-29T16:20:07.976988
9,Pittsburgh Steelers @ Los Angeles Chargers,Pittsburgh Steelers,Los Angeles Chargers,4.5,-112,-4.5,-108,176,-210,,-106,-114,2025-10-29T16:20:07.976988
9,Philadelphia Eagles @ Green Bay Packers,Philadelphia Eagles,Green Bay Packers,3,-110,-3,-110,136,-162,,-115,-105,2025-10-29T16:20:07.976988
